pa_grp_nm,high_priority_upgrade_conv_rate,mobile_to_fios_sales_cnt,high_priority_phn_upgrades_count,total_upgrades_gross,total_perk_adds
2025 CS CX Eff 4/1,0.014084507042253521,0.0,0.058823529411764705,0.027777777777777776,0.5
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.29411764705882354,0.2222222222222222,0.5
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.014084507042253521,0.0,0.058823529411764705,0.08333333333333333,0.03333333333333333
2025 CS CX Eff 4/1,0.08450704225352113,0.0,0.4117647058823529,0.4722222222222222,0.31666666666666665
2025 CS CX Eff 4/1,0.352112676056338,0.0,0.0,0.0,0.0
2025 CS CX Bilingual Eff 4/1,0.08,0.0,0.5,0.3684210526315789,0.23333333333333334
2025 CS CX Eff 4/1,0.07042253521126761,0.0,0.35294117647058826,0.3055555555555556,0.16666666666666666
2025 CS CX Bilingual Eff 4/1,0.04,0.0,0.1,0.10526315789473684,0.0
2025 CS CX Bilingual Eff 4/1,0.22,0.0,0.1,0.05263157894736842,0.23333333333333334
2025 CS CX Bilingual Eff 4/1,0.0,0.0,0.1,0.3157894736842105,0.06666666666666667
2025 CS CX Eff 4/1,0.1267605633802817,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.07042253521126761,0.0,0.23529411764705882,0.25,0.15
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.027777777777777776,0.05
2025 CS CX Eff 4/1,0.08450704225352113,0.0,0.4117647058823529,0.5,0.3
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.29411764705882354,0.2222222222222222,0.5
2025 CS CX Eff 4/1,0.04225352112676056,0.0,0.47058823529411764,0.3055555555555556,0.18333333333333332
2025 CS CX Eff 4/1,0.056338028169014086,0.0,0.35294117647058826,0.3055555555555556,0.2
2025 CS CX Bilingual Eff 4/1,0.02,0.0,0.1,0.3157894736842105,0.5333333333333333
2025 CS CX Eff 4/1,0.19718309859154928,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.014084507042253521,0.0,0.058823529411764705,0.19444444444444445,0.03333333333333333
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.04225352112676056,0.0,0.23529411764705882,0.19444444444444445,0.18333333333333332
2025 CS CX Eff 4/1,0.04225352112676056,0.0,0.11764705882352941,0.2777777777777778,0.6
2025 CS CX Eff 4/1,0.07042253521126761,0.0,0.29411764705882354,0.3055555555555556,0.18333333333333332
2025 CS CX Eff 4/1,0.16901408450704225,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.17647058823529413,0.4444444444444444,0.08333333333333333
2025 CS CX Eff 4/1,0.09859154929577464,0.0,0.5294117647058824,0.3333333333333333,0.35
2025 CS CX Eff 4/1,0.056338028169014086,0.0,0.23529411764705882,0.4166666666666667,0.4
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.17647058823529413,0.3888888888888889,0.16666666666666666
2025 CS CX Eff 4/1,0.09859154929577464,0.0,0.4117647058823529,0.25,0.2
2025 CS CX Eff 4/1,0.352112676056338,0.0,0.0,0.0,0.0
2025 CS CX Bilingual Eff 4/1,0.06,0.0,0.1,0.42105263157894735,0.26666666666666666
2025 CS CX Eff 4/1,0.056338028169014086,0.0,0.23529411764705882,0.19444444444444445,0.21666666666666667
2025 CS CX Eff 4/1,0.014084507042253521,0.0,0.29411764705882354,0.4444444444444444,0.3
2025 CS CX Eff 4/1,0.04225352112676056,0.0,0.058823529411764705,0.1388888888888889,0.3
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.05
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.016666666666666666
2025 CS CX Bilingual Eff 4/1,0.22,0.0,0.1,0.05263157894736842,0.23333333333333334
2025 CS CX Eff 4/1,0.09859154929577464,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.17647058823529413,0.4444444444444444,0.08333333333333333
2025 CS CX Eff 4/1,0.014084507042253521,0.0,0.11764705882352941,0.05555555555555555,0.16666666666666666
2025 CS CX Bilingual Eff 4/1,0.22,0.0,0.1,0.05263157894736842,0.23333333333333334
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.11764705882352941,0.2777777777777778,0.3333333333333333
2025 CS CX Eff 4/1,0.1267605633802817,0.0,0.47058823529411764,0.3888888888888889,0.016666666666666666
2025 CS CX Eff 4/1,0.09859154929577464,0.0,0.35294117647058826,0.4722222222222222,0.45
2025 CS CX Eff 4/1,0.056338028169014086,0.0,0.23529411764705882,0.4444444444444444,0.16666666666666666
2025 CS CX Eff 4/1,0.04225352112676056,0.0,0.23529411764705882,0.19444444444444445,0.25
2025 CS CX Eff 4/1,0.08450704225352113,0.0,0.4117647058823529,0.3611111111111111,0.16666666666666666
2025 CS CX Bilingual Eff 4/1,0.0,0.0,0.0,0.0,0.06666666666666667
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.03333333333333333
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.05555555555555555,0.11666666666666667
2025 CS CX Eff 4/1,0.04225352112676056,0.0,0.29411764705882354,0.5,0.5166666666666667
2025 CS CX Eff 4/1,0.11267605633802817,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.027777777777777776,0.016666666666666666
2025 CS CX Eff 4/1,0.056338028169014086,0.0,0.23529411764705882,0.25,0.08333333333333333
2025 CS CX Eff 4/1,0.1267605633802817,0.0,0.058823529411764705,0.1111111111111111,0.3
2025 CS CX Eff 4/1,0.014084507042253521,0.0,0.058823529411764705,0.08333333333333333,0.03333333333333333
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.11764705882352941,0.19444444444444445,0.23333333333333334
2025 CS CX Eff 4/1,0.08450704225352113,0.0,0.4117647058823529,0.3888888888888889,0.16666666666666666
2025 CS CX Eff 4/1,0.014084507042253521,0.0,0.058823529411764705,0.16666666666666666,0.08333333333333333
2025 CS CX Bilingual Eff 4/1,0.0,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.16901408450704225,0.0,0.23529411764705882,0.19444444444444445,0.08333333333333333
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.06666666666666667
2025 CS CX Eff 4/1,0.056338028169014086,0.0,0.23529411764705882,0.3055555555555556,0.16666666666666666
2025 CS CX Eff 4/1,0.04225352112676056,0.0,0.29411764705882354,0.2777777777777778,0.11666666666666667
2025 CS CX Eff 4/1,0.014084507042253521,0.0,0.058823529411764705,0.19444444444444445,0.15
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.17647058823529413,0.1111111111111111,0.05
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.17647058823529413,0.4444444444444444,0.08333333333333333
2025 CS CX Eff 4/1,0.09859154929577464,0.0,0.23529411764705882,0.3055555555555556,0.05
2025 CS CX Bilingual Eff 4/1,0.04,0.0,0.3,0.3684210526315789,0.26666666666666666
2025 CS CX Eff 4/1,0.14084507042253522,0.0,0.7647058823529411,0.5,0.08333333333333333
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.11267605633802817,0.0,0.4117647058823529,0.25,0.25
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.11764705882352941,0.2777777777777778,0.3333333333333333
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.17647058823529413,0.2222222222222222,0.4666666666666667
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.11764705882352941,0.16666666666666666,0.08333333333333333
2025 CS CX Bilingual Eff 4/1,0.0,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.17647058823529413,0.4444444444444444,0.08333333333333333
2025 CS CX Eff 4/1,0.056338028169014086,0.0,0.23529411764705882,0.2777777777777778,0.06666666666666667
2025 CS CX Eff 4/1,0.11267605633802817,0.0,0.47058823529411764,0.3888888888888889,0.23333333333333334
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.08333333333333333,0.06666666666666667
2025 CS CX Eff 4/1,0.18309859154929578,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.056338028169014086,0.0,0.29411764705882354,0.25,0.26666666666666666
2025 CS CX Bilingual Eff 4/1,0.06,0.0,0.4,0.3157894736842105,0.36666666666666664
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.11764705882352941,0.3888888888888889,0.1
2025 CS CX Bilingual Eff 4/1,0.04,0.0,0.2,0.15789473684210525,0.23333333333333334
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.11764705882352941,0.19444444444444445,0.25
2025 CS CX Eff 4/1,0.2112676056338028,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.04225352112676056,0.0,0.47058823529411764,0.3055555555555556,0.18333333333333332
2025 CS CX Bilingual Eff 4/1,0.02,0.0,0.1,0.21052631578947367,0.36666666666666664
2025 CS CX Eff 4/1,0.04225352112676056,0.0,0.23529411764705882,0.3333333333333333,0.21666666666666667
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.11764705882352941,0.3611111111111111,0.05
2025 CS CX Eff 4/1,0.11267605633802817,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.15492957746478872,0.0,0.8823529411764706,0.8611111111111112,0.16666666666666666
2025 CS CX Eff 4/1,0.07042253521126761,0.0,0.4117647058823529,0.3611111111111111,0.23333333333333334
2025 CS CX Bilingual Eff 4/1,0.0,0.0,0.0,0.0,0.03333333333333333
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.1388888888888889,0.15
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.056338028169014086,0.0,0.23529411764705882,0.2777777777777778,0.06666666666666667
2025 CS CX Eff 4/1,0.22535211267605634,0.0,0.9411764705882353,0.6388888888888888,0.18333333333333332
2025 CS CX Eff 4/1,0.014084507042253521,0.0,0.11764705882352941,0.19444444444444445,0.05
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.05555555555555555,0.4666666666666667
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.03333333333333333
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.11764705882352941,0.25,0.06666666666666667
2025 CS CX Eff 4/1,0.07042253521126761,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.014084507042253521,0.0,0.058823529411764705,0.16666666666666666,0.25
2025 CS CX Eff 4/1,0.014084507042253521,0.0,0.11764705882352941,0.3611111111111111,0.38333333333333336
2025 CS CX Eff 4/1,0.08450704225352113,0.0,0.11764705882352941,0.3611111111111111,0.11666666666666667
2025 CS CX Eff 4/1,0.056338028169014086,0.0,0.11764705882352941,0.2222222222222222,0.05
2025 CS CX Eff 4/1,0.09859154929577464,0.0,0.7058823529411765,0.6111111111111112,0.15
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.05
2025 CS CX Eff 4/1,0.1267605633802817,0.0,0.47058823529411764,0.3888888888888889,0.016666666666666666
2025 CS CX Eff 4/1,0.056338028169014086,0.0,0.23529411764705882,0.2222222222222222,0.35
2025 CS CX Bilingual Eff 4/1,0.02,0.0,0.1,0.15789473684210525,0.03333333333333333
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.43661971830985913,0.0,0.0,0.0,0.0
2025 CS CX Bilingual Eff 4/1,0.02,0.0,0.1,0.3684210526315789,0.13333333333333333
2025 CS CX Bilingual Eff 4/1,0.04,0.0,0.4,0.6842105263157895,0.3
2025 CS CX Bilingual Eff 4/1,0.04,0.0,0.2,0.3684210526315789,0.3333333333333333
2025 CS CX Bilingual Eff 4/1,0.1,0.0,0.8,0.5789473684210527,0.16666666666666666
2025 CS CX Bilingual Eff 4/1,0.04,0.0,0.3,0.3684210526315789,0.26666666666666666
2025 CS CX Eff 4/1,0.09859154929577464,0.0,0.47058823529411764,0.6111111111111112,0.23333333333333334
2025 CS CX Bilingual Eff 4/1,0.02,0.0,0.1,0.15789473684210525,0.3333333333333333
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.11764705882352941,0.3611111111111111,0.5
2025 CS CX Eff 4/1,0.056338028169014086,0.0,0.4117647058823529,0.3333333333333333,0.18333333333333332
2025 CS CX Eff 4/1,0.014084507042253521,0.0,0.058823529411764705,0.16666666666666666,0.016666666666666666
2025 CS CX Eff 4/1,0.0,0.0,0.058823529411764705,0.08333333333333333,0.03333333333333333
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.027777777777777776,0.0
2025 CS CX Eff 4/1,0.056338028169014086,0.0,0.29411764705882354,0.4166666666666667,0.11666666666666667
2025 CS CX Eff 4/1,0.08450704225352113,0.0,0.4117647058823529,0.3611111111111111,0.25
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.027777777777777776,0.016666666666666666
2025 CS CX Eff 4/1,0.1267605633802817,0.0,0.5882352941176471,0.4722222222222222,0.11666666666666667
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.08333333333333333,0.11666666666666667
2025 CS CX Eff 4/1,0.08450704225352113,0.0,0.35294117647058826,0.4444444444444444,0.16666666666666666
2025 CS CX Bilingual Eff 4/1,0.0,0.0,0.0,0.15789473684210525,0.0
2025 CS CX Eff 4/1,0.11267605633802817,0.0,0.6470588235294118,0.5555555555555556,0.25
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.1111111111111111,0.03333333333333333
2025 CS CX Bilingual Eff 4/1,0.04,0.0,0.2,0.42105263157894735,0.4
2025 CS CX Eff 4/1,0.014084507042253521,0.0,0.058823529411764705,0.1388888888888889,0.05
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.0
2025 CS CX Bilingual Eff 4/1,0.04,0.0,0.3,0.21052631578947367,0.23333333333333334
2025 CS CX Eff 4/1,0.09859154929577464,0.0,0.5882352941176471,0.3888888888888889,0.03333333333333333
2025 CS CX Eff 4/1,0.08450704225352113,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.056338028169014086,0.0,0.23529411764705882,0.19444444444444445,0.06666666666666667
2025 CS CX Eff 4/1,0.07042253521126761,0.0,0.29411764705882354,0.3888888888888889,0.13333333333333333
2025 CS CX Eff 4/1,0.352112676056338,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.04225352112676056,0.0,0.17647058823529413,0.1388888888888889,0.15
2025 CS CX Eff 4/1,0.014084507042253521,0.0,0.058823529411764705,0.16666666666666666,0.25
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.08333333333333333,0.21666666666666667
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.17647058823529413,0.2777777777777778,0.23333333333333334
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.058823529411764705,0.16666666666666666,0.23333333333333334
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.03333333333333333
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.29411764705882354,0.6388888888888888,0.13333333333333333
2025 CS CX Eff 4/1,0.07042253521126761,0.0,0.35294117647058826,0.3888888888888889,0.15
2025 CS CX Eff 4/1,0.04225352112676056,0.0,0.35294117647058826,0.25,0.15
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.03333333333333333
2025 CS CX Eff 4/1,0.04225352112676056,0.0,0.23529411764705882,0.3888888888888889,0.2
2025 CS CX Eff 4/1,0.07042253521126761,0.0,0.29411764705882354,0.4444444444444444,0.15
2025 CS CX Eff 4/1,0.056338028169014086,0.0,0.29411764705882354,0.25,0.16666666666666666
2025 CS CX Eff 4/1,0.04225352112676056,0.0,0.17647058823529413,0.16666666666666666,0.36666666666666664
2025 CS CX Eff 4/1,0.09859154929577464,0.0,0.5294117647058824,0.5,0.25
2025 CS CX Bilingual Eff 4/1,0.0,0.0,0.0,0.2631578947368421,0.2
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.11764705882352941,0.08333333333333333,0.2
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.11764705882352941,0.2222222222222222,0.18333333333333332
2025 CS CX Eff 4/1,0.09859154929577464,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.014084507042253521,0.0,0.058823529411764705,0.1388888888888889,0.3333333333333333
2025 CS CX Eff 4/1,0.056338028169014086,0.0,0.29411764705882354,0.25,0.26666666666666666
2025 CS CX Eff 4/1,0.014084507042253521,0.0,0.11764705882352941,0.08333333333333333,0.03333333333333333
2025 CS CX Bilingual Eff 4/1,0.02,0.0,0.2,0.10526315789473684,0.1
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.29411764705882354,0.4722222222222222,0.3333333333333333
2025 CS CX Eff 4/1,0.014084507042253521,0.0,0.058823529411764705,0.05555555555555555,0.1
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.027777777777777776,0.016666666666666666
2025 CS CX Eff 4/1,0.056338028169014086,0.0,0.23529411764705882,0.25,0.03333333333333333
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.08333333333333333
2025 CS CX Eff 4/1,0.4647887323943662,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.1388888888888889,0.03333333333333333
2025 CS CX Eff 4/1,0.18309859154929578,0.0,0.6470588235294118,0.5833333333333334,0.15
2025 CS CX Eff 4/1,0.014084507042253521,0.0,0.058823529411764705,0.4166666666666667,0.21666666666666667
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.23529411764705882,0.3888888888888889,0.11666666666666667
2025 CS CX Eff 4/1,0.16901408450704225,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.11764705882352941,0.3055555555555556,0.05
2025 CS CX Bilingual Eff 4/1,0.04,0.0,0.3,0.21052631578947367,0.23333333333333334
2025 CS CX Eff 4/1,0.014084507042253521,0.0,0.11764705882352941,0.16666666666666666,0.16666666666666666
2025 CS CX Eff 4/1,0.1267605633802817,0.0,0.47058823529411764,0.3888888888888889,0.1
2025 CS CX Eff 4/1,0.04225352112676056,0.0,0.11764705882352941,0.16666666666666666,0.05
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.11764705882352941,0.1388888888888889,0.16666666666666666
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.0
2025 CS CX Bilingual Eff 4/1,0.0,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.11267605633802817,0.0,0.5294117647058824,0.5833333333333334,0.1
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.027777777777777776,0.1
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.17647058823529413,0.2222222222222222,0.08333333333333333
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.03333333333333333
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.058823529411764705,0.2777777777777778,0.08333333333333333
2025 CS CX Bilingual Eff 4/1,0.02,0.0,0.2,0.7368421052631579,1.0
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.027777777777777776,0.1
2025 CS CX Eff 4/1,0.0,1.0,0.0,0.16666666666666666,0.3
2025 CS CX Bilingual Eff 4/1,0.0,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.17647058823529413,0.1388888888888889,0.11666666666666667
2025 CS CX Eff 4/1,0.07042253521126761,0.0,0.23529411764705882,0.3055555555555556,0.05
2025 CS CX Eff 4/1,0.09859154929577464,0.0,0.8235294117647058,0.6388888888888888,0.2
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.027777777777777776,0.06666666666666667
2025 CS CX Bilingual Eff 4/1,0.0,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.05
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.11764705882352941,0.3333333333333333,0.31666666666666665
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.05555555555555555,0.08333333333333333
2025 CS CX Eff 4/1,0.08450704225352113,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.08450704225352113,0.0,0.4117647058823529,0.4722222222222222,0.31666666666666665
2025 CS CX Eff 4/1,0.014084507042253521,0.0,0.11764705882352941,0.08333333333333333,0.05
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.03333333333333333
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.027777777777777776,0.03333333333333333
2025 CS CX Eff 4/1,0.056338028169014086,0.0,0.23529411764705882,0.2222222222222222,0.25
2025 CS CX Eff 4/1,0.14084507042253522,0.0,0.5294117647058824,0.4166666666666667,0.05
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.1
2025 CS CX Bilingual Eff 4/1,0.02,0.0,0.1,0.2631578947368421,0.3333333333333333
2025 CS CX Eff 4/1,0.056338028169014086,0.0,0.35294117647058826,0.5,0.18333333333333332
2025 CS CX Eff 4/1,0.07042253521126761,0.0,0.5882352941176471,0.5555555555555556,0.13333333333333333
2025 CS CX Eff 4/1,0.11267605633802817,0.0,0.47058823529411764,0.3888888888888889,0.23333333333333334
2025 CS CX Eff 4/1,0.07042253521126761,0.0,0.29411764705882354,0.5277777777777778,0.05
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.11764705882352941,0.05555555555555555,0.2
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.11764705882352941,0.1388888888888889,0.13333333333333333
2025 CS CX Eff 4/1,0.04225352112676056,0.0,0.23529411764705882,0.25,0.11666666666666667
2025 CS CX Bilingual Eff 4/1,0.04,0.0,0.3,0.7368421052631579,0.3
2025 CS CX Eff 4/1,0.014084507042253521,0.0,0.11764705882352941,0.3888888888888889,0.05
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.027777777777777776,0.0
2025 CS CX Eff 4/1,0.056338028169014086,0.0,0.23529411764705882,0.19444444444444445,0.06666666666666667
2025 CS CX Eff 4/1,0.04225352112676056,0.0,0.17647058823529413,0.16666666666666666,0.13333333333333333
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.4117647058823529,0.4722222222222222,0.16666666666666666
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.1
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.11764705882352941,0.19444444444444445,0.1
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.05
2025 CS CX Eff 4/1,0.08450704225352113,0.0,0.4117647058823529,0.3611111111111111,0.25
2025 CS CX Bilingual Eff 4/1,0.02,0.0,0.1,0.15789473684210525,0.03333333333333333
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.05555555555555555,0.03333333333333333
2025 CS CX Eff 4/1,0.08450704225352113,0.0,0.0,0.0,0.0
2025 CS CX Bilingual Eff 4/1,0.0,0.0,0.0,0.10526315789473684,0.3
2025 CS CX Eff 4/1,0.09859154929577464,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.0
2025 CS CX Bilingual Eff 4/1,0.04,0.0,0.5,0.47368421052631576,0.23333333333333334
2025 CS CX Eff 4/1,0.014084507042253521,0.0,0.058823529411764705,0.19444444444444445,0.06666666666666667
2025 CS CX Eff 4/1,0.14084507042253522,0.0,0.5882352941176471,0.3888888888888889,0.2833333333333333
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.027777777777777776,0.0
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.0
2025 CS CX Bilingual Eff 4/1,0.0,0.0,0.0,0.0,0.03333333333333333
2025 CS CX Eff 4/1,0.04225352112676056,0.0,0.11764705882352941,0.1111111111111111,0.03333333333333333
2025 CS CX Eff 4/1,0.028169014084507043,1.0,0.17647058823529413,0.4166666666666667,0.3
2025 CS CX Bilingual Eff 4/1,0.06,0.0,0.4,0.3157894736842105,0.6
2025 CS CX Bilingual Eff 4/1,0.0,0.0,0.0,0.0,0.0
2025 CS CX Bilingual Eff 4/1,0.0,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.016666666666666666
2025 CS CX Eff 4/1,0.014084507042253521,0.0,0.058823529411764705,0.1388888888888889,0.06666666666666667
2025 CS CX Bilingual Eff 4/1,0.04,0.0,0.5,0.47368421052631576,0.23333333333333334
2025 CS CX Eff 4/1,0.056338028169014086,0.0,0.4117647058823529,0.6388888888888888,0.18333333333333332
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.08333333333333333,0.38333333333333336
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.04225352112676056,0.0,0.29411764705882354,0.25,0.35
2025 CS CX Bilingual Eff 4/1,0.0,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.016666666666666666
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.027777777777777776,0.0
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.5882352941176471,0.8333333333333334,0.3333333333333333
2025 CS CX Eff 4/1,0.04225352112676056,0.0,0.17647058823529413,0.25,0.15
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.058823529411764705,0.2777777777777778,0.08333333333333333
2025 CS CX Eff 4/1,0.09859154929577464,0.0,0.5294117647058824,0.5,0.25
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.17647058823529413,0.3888888888888889,0.16666666666666666
2025 CS CX Bilingual Eff 4/1,0.04,0.0,0.1,0.10526315789473684,0.0
2025 CS CX Bilingual Eff 4/1,0.0,0.0,0.0,0.10526315789473684,0.13333333333333333
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.0
2025 CS CX Eff 4/1,0.5352112676056338,0.0,0.35294117647058826,0.2222222222222222,0.05
2025 CS CX Eff 4/1,0.028169014084507043,0.0,0.11764705882352941,0.2222222222222222,0.13333333333333333
2025 CS CX Eff 4/1,0.014084507042253521,0.0,0.11764705882352941,0.3611111111111111,0.11666666666666667
2025 CS CX Eff 4/1,0.0,0.0,0.0,0.0,0.0
